,arima,prophet,prophet_lower,prophet_upper,rf,xgb,ensemble
2025-03-31,1028590.1247849535,1046779.6012378002,1026433.2821575764,1066738.4548539259,831810.8889999996,901999.75,952295.0912556883
2025-04-30,1052419.4462046146,1042490.032012182,1022065.7601808739,1061703.087121524,837913.9049999998,901945.9375,958692.3301791991
2025-05-31,1029639.6994686774,1044281.0968325717,1023044.8261937053,1064449.885231114,833699.8069999991,930081.0625,959425.416450312
2025-06-30,1036782.8430808395,1027452.9331393461,1007370.8726775736,1046527.8034259352,853927.501,939475.6875,964409.7411800465
2025-07-31,1070885.1379684126,1051334.8029024585,1030877.0043589596,1072193.2777088378,809647.5969999996,871484.4375,950837.9938427176
2025-08-31,1059270.469282671,1066050.1595124637,1045604.8294937728,1085688.0439709234,846548.2579999996,832631.25,951125.0341987836
2025-09-30,1053037.5741529542,1052072.4976726458,1030773.9215109197,1070355.7110161895,865938.0599999997,864936.5625,958996.1735814
2025-10-31,1104508.890489939,1087983.6354219506,1068158.7763937782,1108753.2909926325,869221.9479999994,880681.25,985598.9309779722
2025-11-30,1087739.139122621,1090658.530307364,1070142.1629286753,1111152.6553629907,871309.652,878411.1875,982029.6272324962
2025-12-31,1073785.8340591004,1084770.6578524266,1064744.504987376,1104946.2547078356,869366.8499999997,872753.0625,975169.1011028816
2026-01-31,1023954.5525392233,1044184.587398231,1023737.6418515207,1062821.8091649588,833447.4050000005,854700.4375,939071.7456093638
2026-02-28,1035364.664488523,1046321.5288802923,1025789.2516726244,1068672.6713241872,833455.4340000005,846736.6875,940469.5787172039
